modelEntityId,uniprotAccession,taxId,chunk,ipTM,pDockQ
AF-0000000078105121,A0A2P6RKC6,74649,chunk_0147,0.61,0.633844
AF-0000000078108725,A0A2P6S7T7,74649,chunk_3668,0.61,0.557504
AF-0000000078102947,A0A2P6SFQ6,74649,chunk_2444,0.61,0.644998
AF-0000000078107158,A0A2P6PQ46,74649,chunk_2908,0.61,0.506755
AF-0000000078108626,A0A2P6SDY4,74649,chunk_2846,0.61,0.636703
AF-0000000078100723,A0A2P6QLA4,74649,chunk_3050,0.62,0.504313
AF-0000000078102766,A0A2P6PG85,74649,chunk_3863,0.62,0.637316
AF-0000000078103758,A0A2P6P6M0,74649,chunk_3667,0.62,0.612327
AF-0000000078107380,A0A2P6QA25,74649,chunk_3216,0.62,0.505742
AF-0000000078107946,A0A2P6P8G2,74649,chunk_1995,0.62,0.692657
