modelEntityId,uniprotAccession,taxId,local_tar_name,ipTM,pDockQ,cluster_id
AF-0000000065771104,Q1G825,390333.0,chunk_2213,0.92,0.68222,UniRef50_Q04DZ9
AF-0000000065780721,Q82XS2,228410.0,chunk_3449,0.95,0.692744,UniRef50_Q9RQF8
AF-0000000079854353,A0A371AZI2,1812858.0,chunk_1019,0.9,0.545868,UniRef50_P33752
AF-0000000065806191,A5FZN8,349163.0,chunk_3727,0.95,0.734576,UniRef50_Q9A7Z1
AF-0000000065820380,A0A0U3AP28,197.0,chunk_0852,0.92,0.636579,UniRef50_A0A0U3AP28
AF-0000000065826811,C1A7F4,379066.0,chunk_0176,0.83,0.706412,UniRef50_C1A7F4
AF-0000000084015348,A0A1W1Y478,371602.0,shard_1784_batch_0.tar,0.95,0.693932,UniRef50_Q4L819
AF-0000000065898858,Q30TB5,326298.0,chunk_0207,0.91,0.723499,UniRef50_Q30TB5
AF-0000000065915736,Q9WY82,243274.0,chunk_2577,0.83,0.620696,UniRef50_Q9WY82
AF-0000000065927079,Q5UZ90,272569.0,chunk_3771,0.96,0.738021,UniRef50_Q9HMY8
